may 29th

hypernetwork code results in output shape of (32,32,3).

Therfore 1st and the last cnn layer does not include hypernetwork.

Name                                          | Label      |        PC1 |        PC2
zs_unetblocks.6.z_list.41                     | unetblock  |   -0.27698 |   -2.53045
zs_unetblocks.6.z_list.42                     | unetblock  |    0.67410 |   -1.38404
zs_unetblocks.6.z_list.43                     | unetblock  |   -2.30976 |    2.52755
zs_unetblocks.6.z_list.44                     | unetblock  |    0.65660 |   -1.17314
zs_unetblocks.6.z_list.45                     | unetblock  |   -0.99946 |   -2.50554
zs_unetblocks.6.z_list.46                     | unetblock  |   -1.88129 |    0.84836
zs_unetblocks.6.z_list.47                     | unetblock  |   -0.48170 |    0.32401
zs_unetblocks.6.z_list.48                     | unetblock  |    1.14051 |    0.69341
zs_unetblocks.6.z_list.49                     | unetblock  |    2.02281 |    1.05005
zs_unetblocks.6.z_list.50                     | unetblock  |    0.07027 |   -0.81312
zs_unetblocks.6.z_list.51                     | unetblock  |   -1.41509 |   -1.22158
zs_unetblocks.6.z_list.52                     | unetblock  |    0.49578 |    0.80215
zs_unetblocks.6.z_list.53                     | unetblock  |   -0.64896 |    0.47096
zs_unetblocks.6.z_list.54                     | unetblock  |    0.65685 |   -0.68378
zs_unetblocks.6.z_list.55                     | unetblock  |    1.29333 |    0.80298
zs_unetblocks.6.z_list.56                     | unetblock  |   -0.06146 |    0.71827
zs_unetblocks.6.z_list.57                     | unetblock  |   -1.08704 |   -0.62604
zs_unetblocks.6.z_list.58                     | unetblock  |    1.63090 |    1.58644
zs_unetblocks.6.z_list.59                     | unetblock  |    0.33302 |   -0.35247
zs_unetblocks.6.z_list.60                     | unetblock  |    0.41241 |    0.52283
zs_unetblocks.6.z_list.61                     | unetblock  |   -0.90362 |   -0.12224
zs_unetblocks.6.z_list.62                     | unetblock  |   -0.61321 |   -0.10050
zs_unetblocks.6.z_list.63                     | unetblock  |    1.00309 |    0.06151
zs_unetblocks.7.z_list.0                      | unetblock  |    1.11237 |    0.55619
zs_unetblocks.7.z_list.1                      | unetblock  |    0.38295 |    0.26201
zs_unetblocks.7.z_list.2                      | unetblock  |   -0.01294 |    1.71520
zs_unetblocks.7.z_list.3                      | unetblock  |   -0.73336 |    1.77671
zs_unetblocks.7.z_list.4                      | unetblock  |    1.10402 |    0.69068
zs_unetblocks.7.z_list.5                      | unetblock  |    0.06743 |    2.04540
zs_unetblocks.7.z_list.6                      | unetblock  |   -0.41623 |   -0.90585
zs_unetblocks.7.z_list.7                      | unetblock  |   -1.01654 |   -0.51368
zs_unetblocks.7.z_list.8                      | unetblock  |    1.80775 |   -1.01167
zs_unetblocks.7.z_list.9                      | unetblock  |   -0.37592 |    0.85601
zs_unetblocks.7.z_list.10                     | unetblock  |    1.72377 |    1.75336
zs_unetblocks.7.z_list.11                     | unetblock  |    0.49065 |   -0.60909
zs_unetblocks.7.z_list.12                     | unetblock  |   -1.52931 |    0.72727
